,Theta,Phi,Accuracy
571,0.325,0.9500000000000001,11.17
572,0.325,0.9750000000000001,12.02
573,0.325,1.0,12.875
574,0.35000000000000003,0.0,33.325
575,0.35000000000000003,0.025,32.5875
576,0.35000000000000003,0.05,31.5475
577,0.35000000000000003,0.07500000000000001,32.6575
578,0.35000000000000003,0.1,30.6825
579,0.35000000000000003,0.125,30.12
580,0.35000000000000003,0.15000000000000002,29.7775
581,0.35000000000000003,0.17500000000000002,28.915
582,0.35000000000000003,0.2,27.385
583,0.35000000000000003,0.225,26.9875
584,0.35000000000000003,0.25,26.6575
585,0.35000000000000003,0.275,25.3275
586,0.35000000000000003,0.30000000000000004,25.0525
587,0.35000000000000003,0.325,23.49
588,0.35000000000000003,0.35000000000000003,23.34
589,0.35000000000000003,0.375,22.48
590,0.35000000000000003,0.4,21.0975
591,0.35000000000000003,0.42500000000000004,21.4475
592,0.35000000000000003,0.45,19.2225
593,0.35000000000000003,0.47500000000000003,19.205
594,0.35000000000000003,0.5,18.5325
595,0.35000000000000003,0.525,17.605
596,0.35000000000000003,0.55,16.365
597,0.35000000000000003,0.5750000000000001,16.33
598,0.35000000000000003,0.6000000000000001,15.7375
599,0.35000000000000003,0.625,16.04
600,0.35000000000000003,0.65,14.93
601,0.35000000000000003,0.675,15.4975
602,0.35000000000000003,0.7000000000000001,14.8125
603,0.35000000000000003,0.7250000000000001,14.7075
604,0.35000000000000003,0.75,14.4625
605,0.35000000000000003,0.775,13.6075
606,0.35000000000000003,0.8,12.965
607,0.35000000000000003,0.8250000000000001,12.9925
608,0.35000000000000003,0.8500000000000001,13.2525
609,0.35000000000000003,0.875,12.5
610,0.35000000000000003,0.9,11.755
611,0.35000000000000003,0.925,11.8025
612,0.35000000000000003,0.9500000000000001,12.1675
613,0.35000000000000003,0.9750000000000001,12.29
614,0.35000000000000003,1.0,12.0675
615,0.375,0.0,30.6975
616,0.375,0.025,30.345
617,0.375,0.05,29.59
618,0.375,0.07500000000000001,28.5625
619,0.375,0.1,30.8775
620,0.375,0.125,29.83
621,0.375,0.15000000000000002,28.9475
622,0.375,0.17500000000000002,28.125
623,0.375,0.2,26.9025
624,0.375,0.225,26.7275
625,0.375,0.25,24.8425
626,0.375,0.275,24.435
627,0.375,0.30000000000000004,23.7975
628,0.375,0.325,23.2125
629,0.375,0.35000000000000003,21.945
630,0.375,0.375,21.11
631,0.375,0.4,20.965
632,0.375,0.42500000000000004,19.365
633,0.375,0.45,18.765
634,0.375,0.47500000000000003,18.875
635,0.375,0.5,17.1025
636,0.375,0.525,17.1875
637,0.375,0.55,16.7725
638,0.375,0.5750000000000001,17.1575
639,0.375,0.6000000000000001,14.735
640,0.375,0.625,14.015
641,0.375,0.65,15.3175
642,0.375,0.675,13.4
643,0.375,0.7000000000000001,14.94
644,0.375,0.7250000000000001,13.0325
645,0.375,0.75,12.97
646,0.375,0.775,13.2475
647,0.375,0.8,13.34
648,0.375,0.8250000000000001,13.0625
649,0.375,0.8500000000000001,13.83
650,0.375,0.875,13.1025
651,0.375,0.9,13.4525
652,0.375,0.925,12.6375
653,0.375,0.9500000000000001,12.74
654,0.375,0.9750000000000001,12.1075
655,0.375,1.0,12.9125
656,0.4,0.0,29.2225
657,0.4,0.025,29.54
658,0.4,0.05,29.7425
659,0.4,0.07500000000000001,28.8975
660,0.4,0.1,27.6525
661,0.4,0.125,27.485
662,0.4,0.15000000000000002,26.9925
663,0.4,0.17500000000000002,27.14
664,0.4,0.2,25.5325
665,0.4,0.225,25.525
666,0.4,0.25,24.2625
667,0.4,0.275,23.85
668,0.4,0.30000000000000004,23.4675
669,0.4,0.325,22.835
670,0.4,0.35000000000000003,21.4475
671,0.4,0.375,20.295
672,0.4,0.4,20.5875
673,0.4,0.42500000000000004,19.7625
674,0.4,0.45,17.8125
675,0.4,0.47500000000000003,18.8575
676,0.4,0.5,16.725
677,0.4,0.525,16.755
678,0.4,0.55,16.67
679,0.4,0.5750000000000001,15.6425
680,0.4,0.6000000000000001,15.015
681,0.4,0.625,15.36
682,0.4,0.65,14.615
683,0.4,0.675,14.5075
684,0.4,0.7000000000000001,14.445
685,0.4,0.7250000000000001,15.3725
686,0.4,0.75,14.1425
687,0.4,0.775,13.29
688,0.4,0.8,13.9125
689,0.4,0.8250000000000001,13.0
690,0.4,0.8500000000000001,12.5075
691,0.4,0.875,13.3525
692,0.4,0.9,12.215
693,0.4,0.925,13.8525
694,0.4,0.9500000000000001,11.6925
695,0.4,0.9750000000000001,12.355
696,0.4,1.0,12.9825
697,0.42500000000000004,0.0,28.4125
698,0.42500000000000004,0.025,27.5
699,0.42500000000000004,0.05,28.5875
700,0.42500000000000004,0.07500000000000001,29.075
701,0.42500000000000004,0.1,27.3375
702,0.42500000000000004,0.125,26.8975
703,0.42500000000000004,0.15000000000000002,26.165
704,0.42500000000000004,0.17500000000000002,25.08
705,0.42500000000000004,0.2,24.9175
706,0.42500000000000004,0.225,24.2575
707,0.42500000000000004,0.25,23.26
708,0.42500000000000004,0.275,23.6925
709,0.42500000000000004,0.30000000000000004,22.315
710,0.42500000000000004,0.325,21.7925
711,0.42500000000000004,0.35000000000000003,21.695
712,0.42500000000000004,0.375,21.47
713,0.42500000000000004,0.4,20.0725
714,0.42500000000000004,0.42500000000000004,20.435
715,0.42500000000000004,0.45,19.1975
716,0.42500000000000004,0.47500000000000003,17.7375
717,0.42500000000000004,0.5,17.845
718,0.42500000000000004,0.525,17.305
719,0.42500000000000004,0.55,16.1475
720,0.42500000000000004,0.5750000000000001,15.81
721,0.42500000000000004,0.6000000000000001,15.2225
722,0.42500000000000004,0.625,14.3125
723,0.42500000000000004,0.65,14.2625
724,0.42500000000000004,0.675,14.62
725,0.42500000000000004,0.7000000000000001,14.8075
726,0.42500000000000004,0.7250000000000001,13.5075
727,0.42500000000000004,0.75,13.8225
728,0.42500000000000004,0.775,13.9875
729,0.42500000000000004,0.8,13.3
730,0.42500000000000004,0.8250000000000001,13.1925
731,0.42500000000000004,0.8500000000000001,12.5425
732,0.42500000000000004,0.875,12.3675
733,0.42500000000000004,0.9,13.05
734,0.42500000000000004,0.925,12.56
735,0.42500000000000004,0.9500000000000001,12.045
736,0.42500000000000004,0.9750000000000001,11.685
737,0.42500000000000004,1.0,13.265
738,0.45,0.0,26.4825
739,0.45,0.025,26.525
740,0.45,0.05,27.6825
741,0.45,0.07500000000000001,27.435
742,0.45,0.1,25.8875
743,0.45,0.125,25.4425
744,0.45,0.15000000000000002,25.91
745,0.45,0.17500000000000002,24.9025
746,0.45,0.2,24.2225
747,0.45,0.225,23.4425
748,0.45,0.25,22.7825
749,0.45,0.275,22.875
750,0.45,0.30000000000000004,21.3925
751,0.45,0.325,20.8675
752,0.45,0.35000000000000003,20.6
753,0.45,0.375,18.395
754,0.45,0.4,17.7575
755,0.45,0.42500000000000004,17.88
756,0.45,0.45,17.1975
757,0.45,0.47500000000000003,16.2425
758,0.45,0.5,16.4575
759,0.45,0.525,16.665
760,0.45,0.55,15.915
761,0.45,0.5750000000000001,16.5575
762,0.45,0.6000000000000001,15.32
763,0.45,0.625,15.1875
764,0.45,0.65,14.14
765,0.45,0.675,13.5375
766,0.45,0.7000000000000001,13.0125
767,0.45,0.7250000000000001,13.61
768,0.45,0.75,13.3025
769,0.45,0.775,13.83
770,0.45,0.8,11.9125
771,0.45,0.8250000000000001,12.0425
772,0.45,0.8500000000000001,13.325
773,0.45,0.875,12.4625
774,0.45,0.9,12.295
775,0.45,0.925,12.525
776,0.45,0.9500000000000001,12.5875
